CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Williamsport, PA",48700,17/06/2022,40.0,Good,Ozone,42-081-0100,2
"Hermiston-Pendleton, OR",25840,13/06/2022,31.0,Good,,41-059-1003,2
"Beaumont-Port Arthur, TX",13140,13/04/2022,59.0,Moderate,PM2.5,48-245-0021,7
"Boulder, CO",14500,14/08/2022,58.0,Moderate,,08-013-0014,2
"San Diego-Carlsbad, CA",41740,24/09/2022,18.0,Good,PM2.5,06-073-0077,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,15/08/2022,74.0,Moderate,Ozone,34-027-3001,41
"Little Rock-North Little Rock-Conway, AR",30780,25/08/2022,19.0,Good,NO2,05-119-0007,1
"Homosassa Springs, FL",26140,2/05/2022,35.0,Good,PM2.5,12-017-0006,1
"Sioux Falls, SD",43620,18/04/2022,43.0,Good,Ozone,46-099-0009,1
"Evansville, IN-KY",21780,7/03/2022,36.0,Good,Ozone,18-173-0011,6
"Dyersburg, TN",20540,30/04/2022,45.0,Good,PM2.5,47-045-0004,1
"Dickinson, ND",19860,24/08/2022,35.0,Good,PM2.5,38-007-0002,1
"Charleston-North Charleston, SC",16700,14/02/2022,38.0,Good,Ozone,45-019-0046,4
"Rockford, IL",40420,2/02/2022,34.0,Good,PM2.5,17-201-0118,1
"Mayaguez, PR",32420,20/02/2022,32.0,Good,Ozone,72-097-0007,1
"Louisville/Jefferson County, KY-IN",31140,25/09/2022,34.0,Good,Ozone,18-019-0008,1
"Springfield, MA",44140,25/03/2022,39.0,Good,Ozone,25-015-4002,3
"La Crosse-Onalaska, WI-MN",29100,9/07/2022,33.0,Good,Ozone,55-063-0012,1
"St. Joseph, MO-KS",41140,7/06/2022,46.0,Good,Ozone,29-003-0001,2
"Baraboo, WI",12660,7/06/2022,41.0,Good,Ozone,55-111-0007,1
"Beaver Dam, WI",13180,8/03/2022,44.0,Good,Ozone,55-027-0001,1
"York-Hanover, PA",49620,19/03/2022,44.0,Good,,42-133-0011,2
"Greenville, NC",24780,17/08/2022,,Good,Ozone,37-147-0006,1
"St. Joseph, MO-KS",41140,14/01/2022,48.0,Good,PM2.5,29-021-0005,1
"Altoona, PA",11020,26/03/2022,31.0,Good,Ozone,42-013-0801,1
"Lewiston-Auburn, ME",30340,9/03/2022,39.0,Good,Ozone,23-001-0014,2
"Macon, GA",31420,9/09/2022,24.0,Good,Ozone,13-021-0012,1
"Traverse City, MI",45900,2/05/2022,33.0,Good,Ozone,26-019-0003,1
"Carlsbad-Artesia, NM",16100,25/01/2022,42.0,Good,Ozone,35-015-0010,2
"San Diego-Carlsbad, CA",41740,10/07/2022,27.0,Good,PM2.5,06-073-0077,1
"Columbia, MO",17860,23/03/2022,26.0,Good,Ozone,29-019-0011,1
"Greenfield Town, MA",24640,8/06/2022,38.0,Good,Ozone,25-011-2005,1
"Sheboygan, WI",43100,25/05/2022,32.0,Good,Ozone,55-117-0009,2
"Fargo, ND-MN",22020,5/06/2022,71.0,Moderate,Ozone,38-017-1004,1
"Eugene, OR",21660,30/03/2022,18.0,Good,PM2.5,41-039-0059,7
"Olympia-Tumwater, WA",36500,9/05/2022,34.0,Good,Ozone,53-067-0013,1
"Meridian, MS",32940,24/05/2022,18.0,Good,Ozone,28-075-0003,1
"Bellingham, WA",13380,5/04/2022,39.0,Good,Ozone,53-073-0005,1
"Harrison, AR",25460,4/05/2022,28.0,Good,Ozone,05-101-0002,1
"Springfield, OH",44220,4/06/2022,77.0,Moderate,Ozone,39-023-0001,3
"Lafayette-West Lafayette, IN",29200,3/05/2022,33.0,Good,Ozone,18-015-0002,2
"Reading, PA",39740,26/08/2022,48.0,Good,PM2.5,42-011-0011,1
"Savannah, GA",42340,19/08/2022,35.0,Good,Ozone,13-051-0021,2
"Louisville/Jefferson County, KY-IN",31140,9/06/2022,45.0,Good,Ozone,21-029-0006,5
"Boulder, CO",14500,29/05/2022,54.0,Moderate,Ozone,08-013-0014,3
"Johnstown, PA",27780,1/04/2022,,Good,Ozone,42-021-0011,1
"Glenwood Springs, CO",24060,14/06/2022,84.0,Moderate,Ozone,08-045-0012,1
"Bennington, VT",13540,18/05/2022,43.0,Good,Ozone,50-003-0004,1
"Roanoke Rapids, NC",40260,30/07/2022,2.0,Good,NO2,37-131-0003,1
"Syracuse, NY",45060,2/04/2022,42.0,Good,Ozone,36-075-0003,2
"Fort Wayne, IN",23060,17/04/2022,33.0,Good,Ozone,18-003-0002,2
"Americus, GA",11140,23/09/2022,41.0,Good,Ozone,13-261-1001,1
"Sonora, CA",43760,19/01/2022,27.0,Good,Ozone,06-109-0005,1
"Waco, TX",47380,18/02/2022,30.0,Good,Ozone,48-309-1037,1
"Rockland, ME",40500,22/07/2022,49.0,Good,Ozone,23-013-0004,1
"Corvallis, OR",18700,3/06/2022,11.0,Good,PM2.5,41-003-0013,1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,27/02/2022,49.0,Good,Ozone,06-079-8005,10
"Syracuse, NY",45060,26/07/2022,32.0,Good,Ozone,36-067-1015,2
"Bloomington, IL",14010,4/06/2022,84.0,Moderate,Ozone,17-113-2003,1
"Ponca City, OK",38620,28/05/2022,27.0,Good,PM2.5,40-071-0604,1
"San Francisco-Oakland-Hayward, CA",41860,9/03/2022,51.0,Moderate,PM2.5,06-001-0012,13
"Othello, WA",36830,14/01/2022,23.0,Good,PM2.5,53-001-0003,1
"San Antonio-New Braunfels, TX",41700,13/03/2022,56.0,Moderate,,48-029-0677,7
"Chambersburg-Waynesboro, PA",16540,29/06/2022,67.0,Moderate,Ozone,42-055-0001,1
"Red Bluff, CA",39780,30/05/2022,38.0,Good,Ozone,06-103-0007,1
"Lincoln, NE",30700,6/03/2022,35.0,Good,Ozone,31-109-0016,2
"Winston-Salem, NC",49180,22/02/2022,,Good,PM2.5,37-067-0030,3
"Ponce, PR",38660,22/05/2022,7.0,Good,CO,72-113-0004,1
"Fernley, NV",22280,22/02/2022,37.0,Good,Ozone,32-019-0006,1
"Sebring, FL",42700,12/06/2022,20.0,Good,Ozone,12-055-0003,1
"Othello, WA",36830,4/05/2022,5.0,Good,PM2.5,53-001-0003,1
"Glenwood Springs, CO",24060,2/01/2022,33.0,Good,Ozone,08-045-0012,2
"Middlesborough, KY",33180,13/04/2022,44.0,Good,Ozone,21-013-0002,1
"Ogden-Clearfield, UT",36260,5/09/2022,87.0,Moderate,Ozone,49-011-0004,2
"Albany-Schenectady-Troy, NY",10580,16/06/2022,36.0,Good,Ozone,36-091-0004,3
"Trenton, NJ",45940,13/07/2022,64.0,Moderate,Ozone,34-021-0005,3
"Platteville, WI",38420,10/05/2022,69.0,Moderate,,55-043-0009,1
"Laramie, WY",29660,21/03/2022,49.0,Good,Ozone,56-001-9991,7
"Carson City, NV",16180,28/05/2022,45.0,Good,Ozone,32-510-0020,1
"Flagstaff, AZ",22380,11/06/2022,61.0,Moderate,Ozone,04-005-1008,1
"Michigan City-La Porte, IN",33140,29/06/2022,143.0,Unhealthy for Sensitive Groups,Ozone,18-091-0005,2
"Yakima, WA",49420,2/05/2022,19.0,Good,PM2.5,53-077-0015,3
"Gainesville, GA",23580,7/04/2022,20.0,Good,PM2.5,13-139-0003,1
"St. George, UT",41100,3/06/2022,74.0,Moderate,Ozone,49-053-0007,2
"Gainesville, FL",23540,12/03/2022,40.0,Good,Ozone,12-001-3012,1
"Fairbanks, AK",21820,13/08/2022,18.0,Good,Ozone,02-090-0034,1
"Muncie, IN",34620,26/03/2022,30.0,Good,Ozone,18-035-0010,1
"Sheboygan, WI",43100,31/05/2022,44.0,Good,Ozone,55-117-0009,2
"Birmingham-Hoover, AL",13820,27/05/2022,41.0,Good,Ozone,01-073-1010,10
"Dayton, OH",19380,8/06/2022,48.0,Good,Ozone,39-135-1001,5
"Truckee-Grass Valley, CA",46020,13/05/2022,50.0,Good,Ozone,06-057-0005,2
"Springfield, IL",44100,2/09/2022,48.0,Good,PM2.5,17-167-0012,2
"Terre Haute, IN",45460,1/05/2022,36.0,Good,Ozone,18-167-0024,2
"Butte-Silver Bow, MT",15580,3/08/2022,34.0,Good,PM2.5,30-093-0005,1
"Paducah, KY-IL",37140,15/01/2022,67.0,Moderate,PM2.5,21-145-1024,1
"Grants Pass, OR",24420,2/04/2022,18.0,Good,PM2.5,41-033-0036,2
"Fort Wayne, IN",23060,7/07/2022,50.0,Good,PM2.5,18-183-0003,2
"Dickinson, ND",19860,4/04/2022,44.0,Good,Ozone,38-007-0002,1
"Seattle-Tacoma-Bellevue, WA",42660,5/04/2022,43.0,Good,Ozone,53-053-0012,15
"Bay City, MI",13020,22/02/2022,10.0,Good,PM2.5,26-017-0014,1
"Homosassa Springs, FL",26140,13/01/2022,36.0,Good,PM2.5,12-017-0006,1
"Asheville, NC",11700,6/02/2022,22.0,Good,PM2.5,37-021-0034,1
"St. Louis, MO-IL",41180,9/06/2022,71.0,Moderate,Ozone,29-510-0085,20
"Shelton, WA",43220,10/07/2022,16.0,Good,,53-045-0007,1
"Eugene, OR",21660,10/06/2022,196.0,Unhealthy,PM2.5,41-039-0060,8
"Portland-South Portland, ME",38860,14/07/2022,41.0,Good,Ozone,23-031-2002,5
"Rock Springs, WY",40540,17/07/2022,29.0,Good,PM2.5,56-037-0007,1
"Killeen-Temple, TX",28660,11/01/2022,63.0,Moderate,PM2.5,48-027-1045,2
"Omaha-Council Bluffs, NE-IA",36540,29/07/2022,46.0,Good,Ozone,31-055-0019,7
"Longview, TX",30980,15/06/2022,23.0,Good,Ozone,48-183-0001,1
"Albany, OR",10540,30/03/2022,14.0,Good,PM2.5,41-043-2002,3
"Minot, ND",33500,8/08/2022,42.0,Good,Ozone,38-101-0003,1
"Deming, NM",19700,27/06/2022,36.0,Good,PM10,35-029-0003,1
"Gettysburg, PA",23900,17/04/2022,36.0,Good,Ozone,42-001-9991,2
"Worcester, MA-CT",49340,2/07/2022,44.0,Good,Ozone,09-015-9991,1
"Washington Court House, OH",47920,5/02/2022,34.0,Good,Ozone,39-047-9991,1
"Gadsden, AL",23460,29/01/2022,19.0,Good,PM2.5,01-055-0010,1
"Barnstable Town, MA",12700,3/03/2022,40.0,Good,Ozone,25-001-0002,1
"Wichita, KS",48620,28/04/2022,46.0,Good,Ozone,20-173-0018,3
"Florence, SC",22500,2/02/2022,30.0,Good,PM2.5,45-041-0003,1
"Nogales, AZ",35700,15/09/2022,31.0,Good,PM10,04-023-0004,1
"Lexington-Fayette, KY",30460,5/05/2022,36.0,Good,Ozone,21-113-0001,2
"Longview, TX",30980,7/04/2022,42.0,Good,Ozone,48-183-0001,1
"Durango, CO",20420,13/04/2022,47.0,Good,Ozone,08-067-7001,3
"Sioux Falls, SD",43620,6/05/2022,46.0,Good,PM2.5,46-099-0009,1
"Gadsden, AL",23460,26/05/2022,23.0,Good,Ozone,01-055-0011,2
"Quincy, IL-MO",39500,20/08/2022,38.0,Good,,17-001-0007,1
"San Diego-Carlsbad, CA",41740,28/08/2022,30.0,Good,PM2.5,06-073-0077,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,19/02/2022,43.0,Good,NO2,34-039-0004,37
"Jefferson City, MO",27620,11/04/2022,33.0,Good,Ozone,29-027-0002,1
"Lawton, OK",30020,19/03/2022,48.0,Good,Ozone,40-031-0651,1
"Rocky Mount, NC",40580,4/04/2022,44.0,Good,,37-065-0099,1
"St. George, UT",41100,17/07/2022,80.0,Moderate,Ozone,49-053-0130,2
"Jefferson City, MO",27620,27/04/2022,46.0,Good,Ozone,29-027-0002,1
"Killeen-Temple, TX",28660,12/04/2022,38.0,Good,Ozone,48-027-1047,2
"Sayre, PA",42380,29/06/2022,46.0,Good,Ozone,42-015-0011,1
"Eau Claire, WI",20740,15/04/2022,32.0,Good,Ozone,55-035-0014,1
"Charleston-North Charleston, SC",16700,1/05/2022,47.0,Good,Ozone,45-015-1002,6
"Ponce, PR",38660,28/02/2022,,Good,PM10,72-113-0004,1
"Parkersburg-Vienna, WV",37620,23/06/2022,44.0,Good,Ozone,54-107-1002,1
"South Bend-Mishawaka, IN-MI",43780,22/01/2022,55.0,Moderate,PM2.5,18-141-0015,3
"Red Wing, MN",39860,12/03/2022,38.0,Good,Ozone,27-049-5302,1
"Johnstown, PA",27780,22/05/2022,55.0,Moderate,PM2.5,42-021-0011,1
"Idaho Falls, ID",26820,8/03/2022,41.0,Good,Ozone,16-023-0101,2
"Billings, MT",13740,11/05/2022,16.0,Good,PM2.5,30-111-0087,1
"Warner Robins, GA",47580,27/06/2022,31.0,Good,PM2.5,13-153-0001,1
"Amarillo, TX",11100,29/03/2022,42.0,Good,Ozone,48-381-9991,2
"Ellensburg, WA",21260,23/03/2022,15.0,Good,PM2.5,53-037-0002,1
"South Bend-Mishawaka, IN-MI",43780,8/03/2022,42.0,Good,PM2.5,18-141-0015,3
"Laredo, TX",29700,18/01/2022,44.0,Good,PM2.5,48-479-0313,1
"Cambridge, MD",15700,15/07/2022,48.0,Good,Ozone,24-019-9991,1
"St. Marys, PA",41260,10/06/2022,32.0,Good,Ozone,42-047-9991,1
"Worcester, MA-CT",49340,19/03/2022,47.0,Good,PM2.5,25-027-0023,4
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,14/06/2022,88.0,Moderate,PM2.5,12-086-1016,16
"Decatur, IL",19500,2/02/2022,30.0,Good,PM2.5,17-115-0013,1
"Oklahoma City, OK",36420,24/03/2022,46.0,Good,Ozone,40-109-1037,5
"Miami, OK",33060,1/06/2022,51.0,Moderate,Ozone,40-115-9004,1
"Davenport-Moline-Rock Island, IA-IL",19340,5/05/2022,54.0,Moderate,PM2.5,19-163-0015,5
"Columbus, GA-AL",17980,6/01/2022,48.0,Good,PM2.5,13-215-0008,2
"Claremont-Lebanon, NH-VT",17200,17/02/2022,39.0,Good,Ozone,33-009-0010,2
"Fernley, NV",22280,17/03/2022,41.0,Good,Ozone,32-019-0006,1
"Brainerd, MN",14660,5/03/2022,39.0,Good,Ozone,27-035-3204,2
"Michigan City-La Porte, IN",33140,13/06/2022,46.0,Good,Ozone,18-091-0005,2
"Toledo, OH",45780,9/04/2022,31.0,Good,Ozone,39-173-0003,4
"Cedar City, UT",16260,11/08/2022,40.0,Good,Ozone,49-021-0005,1
"Morehead City, NC",33980,27/08/2022,31.0,Good,Ozone,37-031-9991,1
"Dodge City, KS",19980,4/06/2022,9.0,Good,PM10,20-057-0002,1
"Muncie, IN",34620,22/01/2022,26.0,Good,Ozone,18-035-0010,1
"Austin-Round Rock, TX",12420,4/03/2022,37.0,Good,PM2.5,48-453-1068,4
"La Grande, OR",29260,26/05/2022,14.0,Good,PM2.5,41-061-0123,2
"Warner Robins, GA",47580,5/04/2022,40.0,Good,PM2.5,13-153-0001,1
"Des Moines-West Des Moines, IA",19780,4/04/2022,41.0,Good,Ozone,19-153-1579,2
"Great Falls, MT",24500,18/01/2022,11.0,Good,PM2.5,30-013-0001,1
"Bakersfield, CA",12540,6/03/2022,46.0,Good,PM2.5,06-029-0010,12
"Gettysburg, PA",23900,18/06/2022,40.0,Good,Ozone,42-001-9991,2
"York-Hanover, PA",49620,25/07/2022,45.0,Good,PM2.5,42-133-0008,1
"Logan, UT-ID",30860,18/04/2022,43.0,Good,,49-005-0007,2
"Florence, SC",22500,1/01/2022,28.0,Good,PM2.5,45-041-0003,1
"Augusta-Richmond County, GA-SC",12260,3/09/2022,30.0,Good,Ozone,13-245-0091,1
"DuBois, PA",20180,21/05/2022,37.0,Good,Ozone,42-033-4000,1
"Red Wing, MN",39860,6/06/2022,47.0,Good,Ozone,27-049-5302,1
"Springfield, MO",44180,27/01/2022,31.0,Good,PM2.5,29-077-0036,1
"Phoenix-Mesa-Scottsdale, AZ",38060,11/05/2022,74.0,Moderate,Ozone,04-013-1010,42
"Port Angeles, WA",38820,19/07/2022,19.0,Good,Ozone,53-009-0013,3
"Bend-Redmond, OR",13460,6/05/2022,13.0,Good,PM2.5,41-017-0004,2
"Kahului-Wailuku-Lahaina, HI",27980,13/05/2022,23.0,Good,,15-009-0025,1
"Crescent City, CA",18860,30/03/2022,23.0,Good,PM2.5,06-015-0007,1
"Winston-Salem, NC",49180,17/07/2022,39.0,Good,Ozone,37-067-0022,3
"Duluth, MN-WI",20260,10/04/2022,43.0,Good,Ozone,27-137-7550,5
"Idaho Falls, ID",26820,5/04/2022,44.0,Good,Ozone,16-023-0101,2
"Grand Junction, CO",24300,28/04/2022,58.0,Moderate,Ozone,08-077-0020,2
"Durango, CO",20420,12/03/2022,46.0,Good,Ozone,08-067-1004,3
"Fort Smith, AR-OK",22900,19/04/2022,39.0,Good,Ozone,40-135-9021,1
"Eureka-Arcata-Fortuna, CA",21700,29/08/2022,20.0,Good,Ozone,06-023-1004,1
"Columbus, OH",18140,2/07/2022,61.0,Moderate,Ozone,39-049-0029,8
"Harrisonburg, VA",25500,26/06/2022,39.0,Good,Ozone,51-165-0003,1
"Lincoln, NE",30700,26/07/2022,37.0,Good,Ozone,31-109-0016,1
"Asheville, NC",11700,1/02/2022,51.0,Moderate,PM2.5,37-021-0034,1
"Hartford-West Hartford-East Hartford, CT",25540,22/06/2022,,Good,PM2.5,09-003-0025,4
"Port St. Lucie, FL",38940,20/02/2022,46.0,Good,Ozone,12-111-0013,2
"Columbus, GA-AL",17980,23/03/2022,33.0,Good,Ozone,01-113-0003,2
"Williamsport, PA",48700,8/01/2022,42.0,Good,PM2.5,42-081-0419,1
"Cheyenne, WY",16940,9/01/2022,41.0,Good,Ozone,56-021-0100,1
"Cambridge, MD",15700,11/05/2022,44.0,Good,Ozone,24-019-9991,2
"Terre Haute, IN",45460,6/02/2022,56.0,Moderate,PM2.5,18-167-0018,2
"Johnstown, PA",27780,1/01/2022,39.0,Good,PM2.5,42-021-0011,1
"Oxnard-Thousand Oaks-Ventura, CA",37100,25/06/2022,67.0,Moderate,Ozone,06-111-2002,5
"Santa Fe, NM",42140,8/04/2022,47.0,Good,Ozone,35-049-0021,1
"Fort Wayne, IN",23060,19/04/2022,31.0,Good,Ozone,18-003-0002,2
"Charleston-North Charleston, SC",16700,14/03/2022,46.0,Good,Ozone,45-015-1002,6
"Crescent City, CA",18860,11/01/2022,30.0,Good,PM2.5,06-015-0007,1
"Show Low, AZ",43320,29/05/2022,71.0,Moderate,Ozone,04-017-0119,1
"Pocatello, ID",38540,11/01/2022,28.0,Good,PM2.5,16-005-0015,2
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,4/02/2022,40.0,Good,PM2.5,47-037-0023,5
"Charlotte-Concord-Gastonia, NC-SC",16740,18/04/2022,39.0,Good,Ozone,37-109-0004,9
"Morehead City, NC",33980,19/04/2022,43.0,Good,Ozone,37-031-9991,1
"Somerset, PA",43740,14/08/2022,,Good,,42-111-9991,1
"Sayre, PA",42380,23/09/2022,7.0,Good,NO2,42-015-0011,1
"Jackson, MS",27140,1/03/2022,61.0,Moderate,PM2.5,28-049-0020,2
"Lima, OH",30620,28/04/2022,38.0,Good,Ozone,39-003-0009,1
"Savannah, GA",42340,19/04/2022,41.0,Good,Ozone,13-051-0021,1
"Ca¤on City, CO",15860,19/07/2022,14.0,Good,PM10,08-043-0003,1
"Pittsfield, MA",38340,27/05/2022,30.0,Good,Ozone,25-003-0008,2
"Americus, GA",11140,1/04/2022,42.0,Good,Ozone,13-261-1001,1
"Cape Coral-Fort Myers, FL",15980,9/05/2022,51.0,Moderate,Ozone,12-071-2002,2
"Las Cruces, NM",29740,20/07/2022,84.0,Moderate,Ozone,35-013-0021,8
"Crescent City, CA",18860,13/04/2022,19.0,Good,PM2.5,06-015-0007,1
"Fargo, ND-MN",22020,31/01/2022,55.0,Moderate,PM2.5,38-017-1004,1
"Kalispell, MT",28060,7/05/2022,31.0,Good,Ozone,30-029-8001,4
"Indiana, PA",26860,31/01/2022,59.0,Moderate,PM2.5,42-063-0004,1
"Winston-Salem, NC",49180,8/02/2022,40.0,Good,PM2.5,37-067-0030,3
"Sebastian-Vero Beach, FL",42680,2/04/2022,37.0,Good,Ozone,12-061-9991,1
"Bloomington, IL",14010,2/09/2022,44.0,Good,Ozone,17-113-2003,1
"Charleston, WV",16620,26/03/2022,36.0,Good,Ozone,54-039-0020,1
"Carlsbad-Artesia, NM",16100,3/05/2022,105.0,Unhealthy for Sensitive Groups,Ozone,35-015-1005,2
"Tulsa, OK",46140,6/01/2022,29.0,Good,Ozone,40-143-1127,3
"Platteville, WI",38420,26/08/2022,22.0,Good,PM2.5,55-043-0009,1
"Owensboro, KY",36980,23/01/2022,46.0,Good,PM2.5,21-059-0005,1
"Vermillion, SD",46820,27/03/2022,37.0,Good,Ozone,46-027-0001,1
"Urban Honolulu, HI",46520,22/04/2022,37.0,Good,PM2.5,15-003-0010,3
"Longview, TX",30980,9/01/2022,26.0,Good,Ozone,48-183-0001,1
"Eau Claire, WI",20740,28/03/2022,18.0,Good,,55-035-0014,1
"Hartford-West Hartford-East Hartford, CT",25540,29/01/2022,35.0,Good,Ozone,09-003-1003,2
"Bakersfield, CA",12540,20/04/2022,58.0,Moderate,Ozone,06-029-5002,11
"Portland-Vancouver-Hillsboro, OR-WA",38900,7/06/2022,30.0,Good,Ozone,53-011-0011,10
"Killeen-Temple, TX",28660,13/01/2022,42.0,Good,Ozone,48-027-1047,2
"La Grande, OR",29260,6/06/2022,10.0,Good,PM2.5,41-061-0123,2
"Helena, MT",25740,14/03/2022,43.0,Good,Ozone,30-049-0004,2
"Oxford, NC",37080,31/03/2022,44.0,Good,Ozone,37-077-0001,1
"New Castle, IN",35220,3/08/2022,31.0,Good,PM2.5,18-065-0003,1
"Crestview-Fort Walton Beach-Destin, FL",18880,1/02/2022,48.0,Good,Ozone,12-091-0002,1
"Ann Arbor, MI",11460,5/05/2022,40.0,Good,Ozone,26-161-9991,2
"Marshall, MN",32140,31/05/2022,28.0,Good,Ozone,27-083-4210,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,13/04/2022,58.0,Moderate,Ozone,24-031-3001,18
"Bozeman, MT",14580,8/06/2022,16.0,Good,PM2.5,30-031-0019,2
"Columbia, SC",17900,2/02/2022,43.0,Good,PM2.5,45-063-0008,3
"Longview, TX",30980,3/07/2022,25.0,Good,Ozone,48-183-0001,1
"Little Rock-North Little Rock-Conway, AR",30780,3/01/2022,28.0,Good,Ozone,05-119-1002,2
"Phoenix-Mesa-Scottsdale, AZ",38060,31/10/2022,42.0,Good,Ozone,04-013-5100,1
"Concord, NH",18180,20/04/2022,36.0,Good,Ozone,33-013-1007,1
"Greenville, NC",24780,18/03/2022,44.0,Good,Ozone,37-147-0006,1
"Port St. Lucie, FL",38940,27/05/2022,38.0,Good,PM2.5,12-085-0007,2
"Orlando-Kissimmee-Sanford, FL",36740,9/02/2022,54.0,Moderate,PM2.5,12-117-1002,5
"Harrisburg-Carlisle, PA",25420,11/06/2022,39.0,Good,Ozone,42-043-1100,3
"Keene, NH",28300,27/06/2022,31.0,Good,Ozone,33-005-0007,1
"Kingsport-Bristol-Bristol, TN-VA",28700,1/02/2022,45.0,Good,PM2.5,51-520-0006,2
"Keene, NH",28300,19/06/2022,,Good,Ozone,33-005-0007,1
"Waco, TX",47380,25/05/2022,41.0,Good,Ozone,48-309-1037,1
"Evansville, IN-KY",21780,1/07/2022,44.0,Good,Ozone,18-163-0013,6
"College Station-Bryan, TX",17780,15/05/2022,28.0,Good,PM2.5,48-041-1086,1
"Hilo, HI",25900,15/03/2022,30.0,Good,PM2.5,15-001-1012,6
"Tucson, AZ",46060,7/01/2022,42.0,Good,Ozone,04-019-0021,15
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,29/06/2022,44.0,Good,Ozone,12-011-0033,17
"Watertown-Fort Drum, NY",48060,21/08/2022,31.0,Good,Ozone,36-045-0002,1
"Manchester-Nashua, NH",31700,29/03/2022,41.0,Good,Ozone,33-011-5001,2
"Brownsville-Harlingen, TX",15180,30/03/2022,84.0,Moderate,PM2.5,48-061-2004,3
"Fort Collins, CO",22660,10/09/2022,25.0,Good,Ozone,08-069-1004,3
"Santa Maria-Santa Barbara, CA",42200,20/06/2022,47.0,Good,Ozone,06-083-1014,7
"Appleton, WI",11540,30/09/2022,46.0,Good,PM2.5,55-087-0009,1
"Fort Wayne, IN",23060,4/06/2022,51.0,Moderate,Ozone,18-003-0002,2
"Corvallis, OR",18700,20/02/2022,10.0,Good,PM2.5,41-003-0013,1
"Des Moines-West Des Moines, IA",19780,28/05/2022,47.0,Good,Ozone,19-153-0030,2
"Winchester, VA-WV",49020,4/06/2022,50.0,Good,Ozone,51-069-0010,1
"Shreveport-Bossier City, LA",43340,8/05/2022,63.0,Moderate,PM2.5,22-017-0008,3
"Lebanon, PA",30140,22/03/2022,40.0,Good,Ozone,42-075-0101,1
"Berlin, NH-VT",13620,12/03/2022,44.0,Good,Ozone,33-007-4002,1
"Ca¤on City, CO",15860,13/07/2022,16.0,Good,PM10,08-043-0003,1
"Provo-Orem, UT",39340,21/03/2022,41.0,Good,Ozone,49-049-5010,2
"Dodge City, KS",19980,23/01/2022,10.0,Good,PM10,20-057-0002,1
"Sheboygan, WI",43100,1/04/2022,43.0,Good,Ozone,55-117-0006,2
"Holland, MI",26090,8/03/2022,44.0,Good,Ozone,26-005-0003,1
"Somerset, PA",43740,9/03/2022,32.0,Good,,42-111-9991,1
"Hobbs, NM",26020,20/01/2022,32.0,Good,Ozone,35-025-0008,1
"Lexington-Fayette, KY",30460,24/05/2022,32.0,Good,PM2.5,21-067-0012,2
"Wilmington, OH",48940,8/03/2022,33.0,Good,Ozone,39-027-1002,1
"Tupelo, MS",46180,25/08/2022,27.0,Good,Ozone,28-081-0005,1
"Ithaca, NY",27060,18/02/2022,38.0,Good,Ozone,36-109-9991,1
"Columbus, IN",18020,28/05/2022,35.0,Good,Ozone,18-005-0007,2
"Erie, PA",21500,20/10/2022,21.0,Good,PM10,42-049-0003,1
"Visalia-Porterville, CA",47300,28/01/2022,71.0,Moderate,PM2.5,06-107-2003,3
"Salt Lake City, UT",41620,17/10/2022,42.0,Good,Ozone,49-035-3016,5
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,11/05/2022,67.0,Moderate,Ozone,36-029-0002,5
"Taos, NM",45340,27/02/2022,5.0,Good,PM2.5,35-055-0005,1
"Killeen-Temple, TX",28660,15/03/2022,42.0,Good,Ozone,48-027-1045,1
"Dalton, GA",19140,23/03/2022,40.0,Good,Ozone,13-213-0003,1
"College Station-Bryan, TX",17780,22/03/2022,13.0,Good,PM2.5,48-041-1086,1
"Danville, VA",19260,21/04/2022,8.0,Good,NO2,51-143-0005,1
"Middlesborough, KY",33180,19/03/2022,34.0,Good,Ozone,21-013-0002,1
"Santa Cruz-Watsonville, CA",42100,24/02/2022,33.0,Good,Ozone,06-087-0007,2
"Monroe, LA",33740,24/03/2022,44.0,Good,Ozone,22-073-0004,1
"Salem, OR",41420,28/06/2022,24.0,Good,Ozone,41-047-0041,4
"Arkadelphia, AR",11660,30/05/2022,35.0,Good,Ozone,05-019-9991,1
"Sioux Falls, SD",43620,5/02/2022,29.0,Good,Ozone,46-099-0009,1
"Vincennes, IN",47180,25/08/2022,47.0,Good,Ozone,18-083-9991,1
"Monroe, LA",33740,26/08/2022,20.0,Good,Ozone,22-073-0004,1
"Centralia, WA",16500,17/04/2022,12.0,Good,PM2.5,53-041-0004,1
"Niles-Benton Harbor, MI",35660,9/06/2022,50.0,Good,Ozone,26-021-0014,1
"San Diego-Carlsbad, CA",41740,2/05/2022,64.0,Moderate,Ozone,06-073-1006,10
"Little Rock-North Little Rock-Conway, AR",30780,9/03/2022,39.0,Good,PM2.5,05-119-0007,3
"Paducah, KY-IL",37140,22/04/2022,43.0,Good,Ozone,21-145-1024,2
